job,marital,education,housing,loan,contact,campaign,poutcome,y
services,married,secondary,no,no,cellular,2,unknown,no
admin.,married,secondary,no,no,cellular,1,unknown,no
blue-collar,divorced,secondary,yes,no,cellular,1,failure,no
services,married,secondary,yes,no,cellular,1,unknown,no
technician,married,secondary,yes,no,cellular,4,unknown,no
management,married,secondary,no,yes,cellular,3,unknown,no
technician,single,tertiary,no,no,cellular,2,unknown,no
management,married,tertiary,no,no,cellular,2,success,yes
entrepreneur,divorced,tertiary,yes,no,unknown,1,unknown,no
management,single,tertiary,yes,no,unknown,2,unknown,no
services,married,tertiary,yes,no,unknown,5,unknown,no
retired,married,secondary,yes,no,unknown,1,unknown,no
management,divorced,tertiary,no,no,cellular,2,unknown,no
blue-collar,divorced,secondary,yes,no,cellular,2,other,no
technician,single,secondary,no,yes,cellular,6,unknown,no
blue-collar,divorced,primary,no,no,cellular,1,unknown,no
unemployed,married,secondary,yes,no,cellular,2,failure,no
admin.,divorced,secondary,yes,no,cellular,1,unknown,yes
retired,married,primary,no,no,cellular,2,unknown,no
admin.,single,secondary,yes,yes,cellular,1,unknown,no
services,married,secondary,no,no,telephone,2,failure,yes
management,married,tertiary,no,no,cellular,1,unknown,yes
blue-collar,married,primary,yes,no,unknown,2,unknown,no
technician,single,secondary,no,yes,cellular,4,unknown,no
blue-collar,single,primary,yes,no,unknown,2,unknown,no
admin.,married,secondary,yes,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,unknown,2,unknown,no
blue-collar,married,primary,no,no,cellular,2,unknown,no
blue-collar,married,primary,yes,no,unknown,3,unknown,no
services,single,secondary,yes,no,cellular,1,unknown,yes
management,single,tertiary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,no,no,cellular,5,unknown,no
unknown,single,tertiary,no,no,cellular,2,unknown,no
admin.,married,tertiary,yes,no,unknown,2,unknown,no
admin.,single,tertiary,no,no,cellular,1,failure,no
blue-collar,divorced,secondary,no,no,cellular,1,success,no
unemployed,single,primary,no,no,cellular,1,unknown,yes
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
management,single,tertiary,yes,no,cellular,1,failure,no
technician,married,secondary,no,no,telephone,2,unknown,no
services,single,primary,yes,no,telephone,2,unknown,no
management,single,secondary,no,no,unknown,1,unknown,no
management,single,tertiary,yes,no,cellular,2,failure,no
blue-collar,married,secondary,yes,yes,unknown,3,unknown,no
self-employed,married,tertiary,yes,no,cellular,2,unknown,no
unemployed,married,primary,no,no,cellular,1,unknown,yes
housemaid,married,primary,yes,no,cellular,3,unknown,no
student,single,secondary,no,no,cellular,6,success,yes
management,married,tertiary,yes,no,telephone,5,unknown,no
self-employed,married,secondary,yes,yes,cellular,5,unknown,no
blue-collar,single,secondary,no,no,cellular,2,failure,no
student,single,secondary,no,no,telephone,4,unknown,yes
technician,single,secondary,no,yes,cellular,2,unknown,yes
services,married,secondary,yes,no,cellular,2,unknown,no
admin.,single,secondary,no,yes,cellular,1,unknown,no
blue-collar,married,primary,no,no,cellular,1,unknown,no
management,divorced,tertiary,no,no,unknown,2,unknown,no
admin.,divorced,secondary,yes,no,cellular,1,unknown,no
blue-collar,married,primary,no,no,cellular,4,unknown,no
technician,married,secondary,yes,no,unknown,1,unknown,no
blue-collar,married,secondary,no,yes,cellular,2,unknown,no
management,single,tertiary,yes,no,cellular,2,failure,no
self-employed,single,tertiary,no,no,cellular,3,unknown,yes
unemployed,single,secondary,no,no,unknown,1,unknown,no
technician,single,secondary,no,yes,cellular,3,unknown,no
blue-collar,single,secondary,no,no,telephone,1,failure,no
retired,divorced,tertiary,no,no,cellular,1,unknown,yes
blue-collar,married,primary,yes,no,cellular,3,unknown,no
blue-collar,married,primary,yes,no,unknown,1,unknown,no
blue-collar,married,unknown,yes,no,unknown,3,unknown,no
admin.,married,unknown,yes,no,cellular,1,failure,no
technician,single,secondary,yes,no,unknown,2,unknown,no
management,single,tertiary,no,no,cellular,10,unknown,no
admin.,single,secondary,yes,yes,cellular,1,failure,no
management,single,tertiary,no,no,cellular,1,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,yes
management,married,unknown,no,no,unknown,2,unknown,no
management,divorced,tertiary,no,no,cellular,2,unknown,no
management,single,tertiary,yes,no,cellular,2,unknown,no
services,divorced,unknown,yes,no,unknown,1,unknown,no
management,single,tertiary,yes,no,cellular,2,unknown,no
admin.,married,secondary,yes,yes,unknown,2,unknown,no
management,married,tertiary,no,yes,cellular,2,unknown,no
retired,married,primary,no,yes,unknown,9,unknown,no
technician,married,secondary,yes,no,cellular,5,unknown,no
admin.,married,secondary,yes,no,cellular,4,other,no
technician,single,unknown,yes,no,unknown,3,unknown,no
entrepreneur,married,unknown,yes,no,unknown,2,unknown,no
management,single,tertiary,yes,yes,cellular,3,unknown,no
unemployed,divorced,primary,yes,yes,unknown,1,unknown,no
entrepreneur,married,secondary,no,no,cellular,2,unknown,no
technician,married,secondary,no,no,unknown,1,unknown,no
technician,divorced,secondary,no,no,cellular,2,unknown,no
admin.,married,secondary,no,no,cellular,3,success,yes
technician,married,secondary,yes,no,cellular,3,failure,no
self-employed,single,secondary,no,no,cellular,1,unknown,no
technician,married,secondary,yes,no,cellular,1,unknown,no
blue-collar,married,tertiary,no,no,unknown,1,unknown,no
admin.,single,secondary,yes,no,unknown,2,unknown,no
admin.,single,secondary,no,yes,unknown,3,unknown,no
services,married,secondary,yes,yes,unknown,2,unknown,no
management,single,tertiary,no,no,cellular,2,failure,yes
admin.,single,secondary,yes,no,unknown,1,unknown,no
housemaid,married,secondary,no,no,telephone,4,unknown,no
blue-collar,divorced,secondary,yes,no,cellular,2,unknown,no
technician,married,tertiary,no,no,unknown,1,unknown,no
blue-collar,single,secondary,yes,yes,cellular,1,unknown,no
technician,married,secondary,no,no,unknown,3,unknown,no
management,single,tertiary,no,no,cellular,2,unknown,no
admin.,single,secondary,yes,yes,cellular,1,other,no
admin.,married,secondary,yes,no,cellular,1,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
admin.,married,secondary,yes,yes,cellular,1,unknown,no
admin.,married,secondary,yes,yes,cellular,7,unknown,no
admin.,married,secondary,yes,no,cellular,2,failure,no
unknown,married,unknown,no,no,unknown,1,unknown,no
admin.,married,tertiary,yes,no,cellular,2,failure,no
technician,single,tertiary,yes,yes,cellular,2,unknown,no
services,single,secondary,no,yes,cellular,2,unknown,no
admin.,single,secondary,yes,no,cellular,5,unknown,no
admin.,divorced,secondary,no,no,unknown,1,unknown,no
services,married,secondary,yes,no,unknown,3,unknown,no
self-employed,married,tertiary,yes,no,cellular,2,unknown,no
admin.,married,tertiary,yes,no,telephone,3,success,no
services,single,secondary,yes,no,cellular,1,other,no
technician,married,secondary,yes,no,cellular,2,failure,no
retired,married,secondary,yes,no,cellular,2,unknown,yes
blue-collar,married,primary,yes,yes,telephone,6,unknown,no
self-employed,married,secondary,yes,no,cellular,12,unknown,no
management,single,tertiary,no,no,cellular,2,unknown,no
services,married,secondary,no,no,unknown,2,unknown,no
student,single,secondary,no,no,cellular,2,unknown,no
retired,divorced,secondary,yes,no,cellular,3,unknown,no
blue-collar,single,secondary,yes,no,unknown,2,unknown,no
services,married,secondary,no,yes,cellular,2,unknown,no
technician,married,tertiary,no,no,cellular,1,unknown,no
retired,married,secondary,no,no,telephone,1,success,yes
technician,single,tertiary,yes,no,cellular,1,success,no
technician,married,secondary,no,no,cellular,2,unknown,no
technician,single,tertiary,yes,no,cellular,2,failure,yes
management,divorced,tertiary,yes,no,cellular,4,failure,no
blue-collar,single,tertiary,no,no,telephone,1,unknown,yes
technician,single,tertiary,yes,no,cellular,2,unknown,no
technician,married,secondary,yes,yes,cellular,1,unknown,no
technician,married,secondary,yes,no,cellular,1,failure,no
services,single,secondary,yes,no,cellular,1,failure,no
retired,married,secondary,no,no,cellular,14,unknown,no
technician,single,secondary,yes,no,cellular,3,unknown,no
blue-collar,single,secondary,yes,no,unknown,3,unknown,no
technician,married,tertiary,yes,no,cellular,2,other,no
self-employed,married,secondary,no,no,cellular,1,unknown,no
management,married,tertiary,no,no,cellular,4,unknown,no
management,married,tertiary,yes,no,cellular,2,unknown,yes
technician,married,secondary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,failure,no
blue-collar,married,primary,yes,yes,telephone,10,unknown,no
services,married,secondary,no,no,cellular,3,unknown,no
retired,married,tertiary,yes,no,cellular,3,unknown,no
technician,married,secondary,yes,no,unknown,5,unknown,no
blue-collar,married,primary,no,no,unknown,2,unknown,no
self-employed,married,primary,no,no,cellular,7,unknown,no
management,married,primary,yes,no,cellular,1,unknown,no
services,single,secondary,yes,no,unknown,1,unknown,no
technician,married,secondary,no,no,cellular,3,unknown,no
technician,married,secondary,yes,no,cellular,1,other,no
blue-collar,married,primary,yes,no,cellular,1,unknown,no
technician,married,tertiary,yes,yes,cellular,1,other,no
unknown,married,secondary,no,no,cellular,6,unknown,no
entrepreneur,married,tertiary,no,no,unknown,3,unknown,no
technician,single,secondary,yes,no,cellular,3,failure,no
blue-collar,single,secondary,yes,no,cellular,2,success,no
student,single,secondary,no,no,cellular,1,unknown,no
technician,divorced,secondary,no,no,cellular,3,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,other,no
technician,married,unknown,yes,no,unknown,3,unknown,no
housemaid,married,primary,no,no,unknown,3,unknown,no
unemployed,married,tertiary,yes,no,cellular,4,unknown,no
admin.,single,secondary,yes,no,cellular,7,unknown,no
self-employed,married,tertiary,no,no,cellular,3,unknown,no
management,married,tertiary,no,no,cellular,12,unknown,no
admin.,married,secondary,yes,yes,unknown,2,unknown,no
blue-collar,married,secondary,yes,no,unknown,2,unknown,no
management,married,tertiary,yes,no,cellular,1,other,no
management,married,secondary,yes,no,unknown,2,unknown,no
unemployed,single,secondary,no,no,cellular,2,unknown,no
management,married,tertiary,yes,no,cellular,2,unknown,no
technician,married,secondary,no,yes,cellular,2,failure,no
management,married,tertiary,yes,no,cellular,3,unknown,no
management,married,tertiary,no,no,cellular,5,unknown,no
blue-collar,divorced,primary,no,yes,cellular,2,unknown,no
retired,married,primary,yes,no,cellular,3,failure,no
blue-collar,married,primary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,yes,yes,unknown,4,unknown,no
management,married,tertiary,no,yes,cellular,2,unknown,no
unemployed,single,secondary,no,no,cellular,4,unknown,no
technician,divorced,tertiary,yes,no,cellular,2,unknown,no
blue-collar,single,secondary,no,yes,cellular,3,unknown,yes
housemaid,married,secondary,yes,yes,cellular,1,unknown,no
technician,single,secondary,no,no,cellular,2,unknown,no
technician,single,tertiary,no,no,cellular,3,unknown,no
entrepreneur,married,tertiary,no,yes,cellular,4,unknown,no
technician,married,tertiary,no,no,cellular,1,failure,no
self-employed,married,secondary,yes,yes,unknown,1,unknown,no
student,single,secondary,yes,no,unknown,1,unknown,no
technician,married,tertiary,yes,yes,cellular,3,unknown,no
admin.,single,secondary,yes,no,telephone,13,unknown,no
services,divorced,secondary,no,no,cellular,6,unknown,no
services,married,secondary,yes,no,cellular,1,failure,no
blue-collar,single,secondary,yes,yes,cellular,1,unknown,yes
management,married,secondary,no,no,unknown,3,unknown,no
self-employed,married,secondary,yes,no,cellular,4,unknown,no
blue-collar,single,tertiary,yes,no,cellular,4,unknown,no
technician,married,secondary,yes,no,unknown,1,unknown,no
housemaid,married,tertiary,no,no,cellular,2,failure,no
technician,single,tertiary,no,no,cellular,2,unknown,no
blue-collar,married,primary,no,no,cellular,3,unknown,no
blue-collar,divorced,primary,yes,no,cellular,1,unknown,no
self-employed,married,tertiary,no,no,unknown,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
blue-collar,single,secondary,yes,no,unknown,1,unknown,no
admin.,divorced,secondary,no,no,unknown,6,unknown,no
student,married,secondary,no,no,unknown,6,unknown,no
technician,single,tertiary,yes,no,unknown,1,unknown,no
admin.,married,secondary,yes,no,unknown,3,unknown,no
self-employed,married,secondary,yes,no,unknown,2,unknown,no
management,married,tertiary,yes,no,cellular,5,unknown,no
admin.,married,tertiary,no,yes,cellular,3,success,yes
blue-collar,married,primary,yes,no,cellular,2,unknown,yes
blue-collar,married,secondary,yes,no,unknown,2,unknown,no
services,married,secondary,no,no,cellular,6,unknown,no
technician,divorced,secondary,yes,yes,cellular,5,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
entrepreneur,divorced,unknown,yes,no,cellular,2,unknown,yes
management,married,tertiary,no,no,cellular,1,unknown,no
blue-collar,divorced,primary,yes,no,unknown,1,unknown,yes
entrepreneur,married,secondary,yes,yes,cellular,24,unknown,yes
blue-collar,married,secondary,yes,no,cellular,5,unknown,yes
retired,divorced,primary,no,no,cellular,1,unknown,no
retired,divorced,primary,no,no,cellular,2,failure,no
blue-collar,married,secondary,yes,no,telephone,1,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,unknown,no
management,married,unknown,no,yes,cellular,2,unknown,no
technician,married,secondary,no,yes,cellular,2,unknown,no
entrepreneur,married,secondary,yes,no,cellular,1,unknown,yes
unemployed,married,primary,yes,yes,unknown,5,unknown,no
management,married,tertiary,yes,no,unknown,1,unknown,no
admin.,married,tertiary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,yes,yes,cellular,7,failure,no
management,married,unknown,no,no,cellular,2,unknown,no
blue-collar,single,primary,yes,no,cellular,3,unknown,no
management,married,tertiary,no,yes,cellular,2,unknown,no
admin.,single,tertiary,yes,no,cellular,3,failure,yes
blue-collar,married,primary,yes,no,unknown,2,unknown,no
blue-collar,married,secondary,no,no,cellular,1,unknown,no
admin.,married,primary,no,yes,unknown,6,unknown,no
entrepreneur,married,secondary,no,no,cellular,4,failure,yes
unemployed,single,secondary,no,no,unknown,1,unknown,no
admin.,married,unknown,no,no,unknown,11,unknown,no
blue-collar,married,secondary,no,no,cellular,1,unknown,no
self-employed,single,tertiary,no,yes,cellular,4,unknown,no
management,married,tertiary,no,no,cellular,1,success,yes
blue-collar,married,primary,yes,yes,unknown,1,unknown,no
technician,married,secondary,no,no,cellular,1,failure,no
unemployed,married,secondary,no,yes,cellular,1,unknown,no
entrepreneur,single,tertiary,yes,no,cellular,2,unknown,yes
unemployed,married,secondary,no,no,cellular,3,success,yes
admin.,single,secondary,yes,no,unknown,1,unknown,no
admin.,married,secondary,no,no,cellular,6,unknown,no
technician,single,tertiary,yes,no,cellular,3,other,no
admin.,married,secondary,yes,no,cellular,4,unknown,no
services,married,primary,yes,no,cellular,6,unknown,yes
management,single,tertiary,no,no,cellular,4,unknown,yes
management,divorced,tertiary,no,yes,unknown,1,unknown,no
blue-collar,married,primary,no,no,unknown,1,unknown,no
management,single,tertiary,yes,no,cellular,1,failure,no
retired,married,primary,no,no,cellular,1,success,no
self-employed,divorced,primary,no,no,cellular,2,unknown,no
management,married,tertiary,yes,yes,cellular,1,failure,no
retired,married,tertiary,no,no,cellular,1,unknown,no
management,single,tertiary,no,yes,cellular,1,unknown,no
self-employed,single,tertiary,yes,no,unknown,2,unknown,no
management,single,unknown,yes,no,cellular,1,unknown,no
blue-collar,single,secondary,yes,yes,cellular,2,failure,no
management,married,tertiary,no,no,cellular,3,unknown,no
management,married,primary,no,no,cellular,2,success,yes
admin.,married,secondary,yes,yes,unknown,1,unknown,no
self-employed,married,tertiary,yes,no,cellular,2,failure,no
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,no
management,married,tertiary,no,yes,cellular,3,unknown,no
management,married,tertiary,no,no,cellular,1,failure,no
management,married,tertiary,yes,no,cellular,2,failure,no
services,single,secondary,yes,no,unknown,2,unknown,no
services,married,secondary,yes,no,unknown,4,unknown,no
management,single,unknown,no,no,cellular,2,unknown,no
admin.,divorced,secondary,no,no,cellular,2,unknown,yes
student,single,secondary,yes,no,cellular,1,unknown,no
management,single,tertiary,no,no,cellular,6,unknown,no
blue-collar,married,primary,yes,yes,cellular,2,unknown,no
housemaid,married,primary,yes,no,unknown,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,unknown,no
management,married,tertiary,no,no,cellular,2,unknown,no
student,single,secondary,no,no,cellular,1,unknown,no
technician,single,secondary,yes,no,cellular,2,unknown,no
management,single,tertiary,yes,no,cellular,1,failure,no
technician,single,primary,no,no,cellular,1,unknown,yes
entrepreneur,married,secondary,yes,no,cellular,1,other,no
housemaid,married,tertiary,no,no,unknown,5,unknown,no
retired,married,primary,no,no,cellular,1,unknown,no
services,married,secondary,no,no,unknown,3,unknown,no
technician,married,secondary,yes,no,cellular,1,unknown,no
admin.,married,secondary,yes,no,cellular,1,failure,no
services,single,secondary,yes,no,cellular,6,failure,no
management,married,primary,yes,no,unknown,7,unknown,no
management,married,tertiary,yes,no,cellular,3,failure,yes
technician,divorced,primary,yes,no,unknown,1,unknown,no
services,single,secondary,yes,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,failure,no
blue-collar,married,primary,yes,no,unknown,1,unknown,no
retired,married,tertiary,no,no,telephone,2,unknown,yes
services,married,secondary,yes,no,telephone,2,failure,no
blue-collar,married,primary,yes,no,cellular,2,unknown,no
blue-collar,married,primary,no,no,cellular,1,unknown,no
management,married,tertiary,no,no,unknown,3,unknown,no
technician,married,secondary,yes,no,unknown,3,unknown,no
blue-collar,married,secondary,no,no,cellular,1,unknown,no
services,married,secondary,yes,no,unknown,3,unknown,no
management,single,tertiary,yes,no,cellular,2,other,no
blue-collar,single,primary,yes,yes,unknown,4,unknown,no
retired,married,unknown,no,no,cellular,1,unknown,no
technician,married,secondary,no,no,cellular,4,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,failure,no
technician,married,secondary,yes,no,unknown,4,unknown,no
admin.,married,secondary,yes,no,cellular,1,unknown,no
technician,single,tertiary,no,no,cellular,5,success,no
blue-collar,married,primary,yes,yes,telephone,3,unknown,no
blue-collar,married,primary,yes,no,cellular,3,unknown,no
technician,divorced,tertiary,yes,no,cellular,2,unknown,no
blue-collar,single,secondary,no,yes,cellular,1,unknown,yes
blue-collar,single,secondary,no,no,cellular,1,unknown,no
retired,married,primary,no,yes,cellular,1,unknown,no
blue-collar,married,secondary,no,no,unknown,1,unknown,no
self-employed,married,secondary,yes,no,cellular,2,unknown,no
technician,married,tertiary,yes,no,unknown,1,unknown,no
technician,married,secondary,no,no,cellular,2,unknown,no
management,married,secondary,yes,no,telephone,3,failure,no
admin.,married,secondary,no,no,cellular,1,failure,yes
management,married,tertiary,no,no,cellular,4,unknown,no
blue-collar,single,secondary,no,no,cellular,1,unknown,no
retired,divorced,tertiary,yes,no,cellular,1,failure,yes
management,married,tertiary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,no,no,telephone,7,unknown,no
management,divorced,tertiary,no,no,cellular,4,unknown,yes
services,single,secondary,no,no,cellular,2,unknown,no
blue-collar,single,primary,no,no,cellular,2,unknown,no
self-employed,married,secondary,yes,yes,cellular,1,unknown,no
technician,married,secondary,yes,yes,cellular,1,unknown,no
admin.,divorced,secondary,yes,no,unknown,1,unknown,no
management,married,tertiary,yes,no,cellular,1,failure,no
technician,single,tertiary,yes,no,cellular,2,unknown,no
management,single,tertiary,yes,no,cellular,4,failure,no
services,single,secondary,yes,no,unknown,1,unknown,no
blue-collar,single,primary,yes,no,unknown,3,unknown,no
blue-collar,married,primary,yes,yes,unknown,1,unknown,no
technician,married,tertiary,yes,no,unknown,1,unknown,no
blue-collar,married,secondary,yes,no,unknown,2,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,no
management,married,primary,no,no,cellular,3,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,no
technician,single,tertiary,yes,no,cellular,4,unknown,no
blue-collar,married,secondary,no,no,cellular,1,failure,no
management,married,tertiary,no,yes,cellular,2,unknown,no
entrepreneur,divorced,tertiary,no,no,unknown,2,unknown,no
self-employed,married,tertiary,yes,no,cellular,1,unknown,no
admin.,single,secondary,yes,no,cellular,5,other,no
management,married,secondary,yes,no,cellular,2,unknown,no
management,married,tertiary,yes,no,cellular,2,unknown,no
admin.,divorced,tertiary,yes,no,unknown,1,unknown,no
admin.,single,secondary,yes,no,cellular,3,unknown,no
technician,single,secondary,no,no,cellular,8,unknown,no
management,married,tertiary,yes,no,telephone,4,unknown,yes
retired,married,secondary,no,no,cellular,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,unknown,no
technician,married,secondary,yes,no,unknown,1,unknown,no
retired,married,tertiary,no,no,cellular,1,unknown,no
admin.,married,secondary,no,no,cellular,1,unknown,no
entrepreneur,married,tertiary,yes,no,cellular,1,unknown,no
technician,married,secondary,yes,no,cellular,1,unknown,yes
admin.,divorced,secondary,yes,no,cellular,1,unknown,no
technician,married,secondary,yes,yes,unknown,2,unknown,no
blue-collar,married,secondary,yes,no,cellular,2,unknown,no
management,married,tertiary,no,no,cellular,24,unknown,no
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
self-employed,single,tertiary,no,no,cellular,1,unknown,yes
services,single,secondary,no,yes,cellular,1,unknown,no
technician,single,secondary,no,no,cellular,6,unknown,no
management,divorced,tertiary,no,no,cellular,1,failure,no
unemployed,married,tertiary,no,no,unknown,3,unknown,no
blue-collar,married,secondary,yes,no,cellular,3,unknown,no
management,divorced,tertiary,no,no,unknown,1,unknown,no
blue-collar,divorced,secondary,yes,no,cellular,1,unknown,no
blue-collar,married,secondary,yes,no,cellular,1,success,yes
housemaid,married,secondary,no,no,telephone,1,failure,no
self-employed,married,secondary,yes,no,unknown,1,unknown,no
management,married,tertiary,yes,no,unknown,1,unknown,no
management,single,secondary,yes,no,cellular,3,unknown,no
blue-collar,single,primary,yes,no,unknown,10,unknown,no
management,married,tertiary,yes,no,cellular,1,unknown,no
self-employed,married,secondary,yes,no,unknown,2,unknown,no
entrepreneur,married,secondary,yes,no,cellular,1,unknown,no
admin.,married,secondary,no,no,cellular,1,unknown,yes
management,married,tertiary,yes,no,unknown,3,unknown,no
blue-collar,married,primary,yes,no,unknown,4,unknown,no
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
retired,married,tertiary,no,no,telephone,1,success,yes
services,married,secondary,yes,no,unknown,1,unknown,no
blue-collar,married,secondary,yes,no,unknown,1,unknown,no
management,single,unknown,yes,no,unknown,2,unknown,no
management,single,secondary,yes,no,telephone,4,unknown,no
technician,married,secondary,yes,no,cellular,4,failure,no
management,married,tertiary,no,no,cellular,8,unknown,no
management,married,tertiary,yes,no,cellular,2,unknown,no
housemaid,married,primary,yes,no,unknown,10,unknown,no
services,divorced,secondary,yes,no,cellular,3,unknown,no
blue-collar,married,primary,yes,no,unknown,3,unknown,no
blue-collar,single,primary,yes,no,unknown,2,unknown,no
management,married,tertiary,yes,no,cellular,2,unknown,no
blue-collar,married,unknown,yes,no,unknown,2,unknown,no
services,divorced,secondary,yes,no,unknown,1,unknown,no
admin.,married,secondary,no,no,telephone,1,success,yes
admin.,married,secondary,no,no,cellular,6,unknown,yes
technician,single,secondary,yes,no,cellular,4,unknown,yes
management,divorced,tertiary,yes,no,unknown,1,unknown,no
housemaid,married,secondary,yes,no,cellular,1,failure,no
technician,single,secondary,yes,yes,cellular,2,unknown,no
technician,single,secondary,no,yes,unknown,2,unknown,no
management,single,tertiary,yes,no,cellular,2,unknown,no
management,single,tertiary,no,no,cellular,5,failure,no
admin.,married,secondary,yes,yes,telephone,9,unknown,no
management,married,tertiary,no,no,cellular,5,unknown,no
student,single,primary,no,no,cellular,2,unknown,yes
management,married,tertiary,no,no,cellular,1,unknown,no
unemployed,married,secondary,yes,no,unknown,3,unknown,no
self-employed,single,primary,no,yes,cellular,6,unknown,no
self-employed,divorced,tertiary,yes,no,unknown,5,unknown,no
blue-collar,single,secondary,yes,no,cellular,1,unknown,no
blue-collar,single,secondary,no,no,cellular,1,unknown,yes
blue-collar,married,secondary,yes,yes,cellular,1,failure,no
management,married,tertiary,yes,no,cellular,3,unknown,no
technician,married,secondary,yes,no,cellular,1,failure,yes
management,divorced,tertiary,yes,no,unknown,2,unknown,no
management,married,tertiary,yes,no,cellular,29,unknown,no
unemployed,divorced,primary,no,no,cellular,1,failure,no
technician,married,tertiary,yes,yes,unknown,1,unknown,no
blue-collar,married,primary,yes,no,cellular,2,unknown,yes
management,married,tertiary,yes,no,cellular,1,other,no
retired,married,secondary,no,no,cellular,1,other,no
services,married,secondary,no,no,unknown,1,unknown,no
